City,Country,Date,Max Temp,Humidity,Cloudiness,Wind Speed,Lat,Lng
Vaini,IN,1571631305,73.4,94,75,2.24,15.34,74.49
Ilulissat,GL,1571631305,19.4,62,89,2.24,69.22,-51.1
Kruisfontein,ZA,1571631306,55.29,92,97,10.65,-34.0,24.73
Kapaa,US,1571631306,82.4,78,90,8.05,22.08,-159.32
Lorengau,PG,1571631306,82.52,81,94,10.65,-2.02,147.27
Platanos,GR,1571631307,71.01,100,20,17.11,35.47,23.6
Narsaq,GL,1571631311,48.2,19,0,20.8,60.91,-46.05
Planaltina,BR,1571631312,78.8,57,75,4.7,-15.62,-47.66
Balkanabat,TM,1571631312,58.28,85,0,2.42,39.51,54.36
Ambon,FR,1571631312,51.01,100,0,5.82,47.55,-2.56
Ushuaia,AR,1571631313,29.6,93,13,4.21,-54.81,-68.31
Hami,CN,1571631314,55.36,17,0,3.09,42.84,93.51
San Patricio,PY,1571631314,61.14,97,96,5.77,-26.98,-56.83
Shashi,CN,1571631314,78.6,29,0,5.23,27.02,114.08
Mataura,NZ,1571631314,48.0,71,82,8.99,-46.19,168.86
Sao Gabriel da Cachoeira,BR,1571631315,74.6,94,100,0.76,-0.13,-67.09
Jamestown,AU,1571631316,83.15,16,35,1.77,-33.21,138.6
Khatanga,RU,1571631316,19.63,94,100,15.21,71.98,102.47
Pokhara,NP,1571631316,55.68,51,32,3.22,28.21,83.99
Beringovskiy,RU,1571631317,19.45,76,100,6.73,63.05,179.32
Ribeira Grande,PT,1571631317,65.33,61,52,8.81,38.52,-28.7
Torbay,CA,1571631317,43.0,86,75,13.87,47.66,-52.73
Yellowknife,CA,1571631318,24.01,92,5,3.36,62.45,-114.38
Castro,CL,1571631318,41.0,86,75,9.17,-42.48,-73.76
Avarua,CK,1571631319,77.0,83,0,10.29,-21.21,-159.78
Punta Arenas,CL,1571631319,41.0,75,0,17.22,-53.16,-70.91
Cherskiy,RU,1571631319,4.76,90,0,1.63,68.75,161.3
Taksimo,RU,1571631320,18.59,81,100,6.51,56.36,114.84
Olkhovka,RU,1571631320,25.93,59,94,9.95,53.21,60.61
Severo-Kurilsk,RU,1571631321,42.17,71,0,12.3,50.68,156.12
Albany,US,1571631321,46.99,87,90,3.36,42.65,-73.75
Praya,ID,1571631322,91.4,49,20,12.75,-8.71,116.27
Saint-Philippe,CA,1571631322,45.0,93,1,4.7,45.36,-73.48
Kidal,ML,1571631322,85.02,34,96,9.24,18.44,1.41
Esperance,AU,1571631323,68.0,72,90,14.99,-33.86,121.89
Zeya,RU,1571631323,36.5,97,100,5.06,53.74,127.27
Yumen,CN,1571631324,53.69,15,0,6.76,40.29,97.04
Rikitea,PF,1571631324,70.39,73,94,15.19,-23.12,-134.97
Mar del Plata,AR,1571631324,57.72,38,100,20.58,-46.43,-67.52
Brigantine,US,1571631325,59.0,100,90,8.05,39.41,-74.36
Hobart,AU,1571631325,68.0,37,20,12.75,-42.88,147.33
Atuona,PF,1571631326,79.44,74,2,12.46,-9.8,-139.03
New Norfolk,AU,1571631326,68.0,37,20,12.75,-42.78,147.06
Saskylakh,RU,1571631327,8.31,86,100,11.14,71.97,114.09
Cape Town,ZA,1571631327,59.0,71,40,3.36,-33.93,18.42
Aksu,KZ,1571631328,19.4,92,0,4.47,52.04,76.93
Flinders,AU,1571631328,79.0,40,0,12.75,-34.58,150.85
Barrow,AR,1571631329,55.7,60,100,9.66,-38.31,-60.23
Coihaique,CL,1571631329,41.0,93,20,4.61,-45.58,-72.07
Palmer,AU,1571631329,77.0,46,0,10.29,-34.85,139.16
Iqaluit,CA,1571631330,30.2,86,90,19.46,63.75,-68.52
Hermanus,ZA,1571631330,59.0,81,100,4.0,-34.42,19.24
Cabo San Lucas,MX,1571631330,79.0,69,75,4.7,22.89,-109.91
Kavaratti,IN,1571631331,82.47,78,100,11.12,10.57,72.64
Moerai,PF,1571631331,72.37,84,100,20.45,-22.43,-151.33
Pudozh,RU,1571631332,39.36,95,100,7.58,61.81,36.54
Bluff,AU,1571631332,85.13,28,0,12.08,-23.58,149.07
Issoire,FR,1571631332,48.2,93,75,3.36,45.54,3.25
Puerto Ayora,EC,1571631333,69.01,89,6,5.01,-0.74,-90.35
Norman Wells,CA,1571631333,26.6,100,90,2.24,65.28,-126.83
Qaanaaq,GL,1571631333,1.22,47,0,11.21,77.48,-69.36
Nanortalik,GL,1571631334,38.93,69,77,5.28,60.14,-45.24
Chernyshevskiy,RU,1571631334,20.96,71,100,3.8,63.01,112.47
Muriti,TZ,1571631334,69.8,88,20,11.41,-1.99,32.93
Ostrovnoy,RU,1571631335,19.65,88,92,9.62,68.05,39.51
Vorukh,KG,1571631335,53.9,32,100,5.82,39.85,70.57
Georgetown,GY,1571631335,75.2,100,40,4.7,6.8,-58.16
Saint-Georges,CA,1571631336,43.0,36,57,5.19,46.12,-70.67
Port Elizabeth,US,1571631336,57.0,87,90,17.22,39.31,-74.98
Carora,VE,1571631336,69.89,92,100,1.3,10.17,-70.08
Rio Gallegos,AR,1571631337,42.8,60,40,4.7,-51.62,-69.22
Busselton,AU,1571631337,77.0,40,0,7.07,-33.64,115.35
Sabzevar,IR,1571631337,51.4,63,100,5.41,36.21,57.68
Kodiak,US,1571631338,57.99,87,40,13.87,39.95,-94.76
Thohoyandou,ZA,1571631338,68.07,37,0,3.47,-22.97,30.46
Port Alfred,ZA,1571631339,61.0,90,72,7.0,-33.59,26.89
Hasaki,JP,1571631339,68.0,68,75,12.75,35.73,140.83
Bredasdorp,ZA,1571631339,59.0,62,100,10.29,-34.53,20.04
Geraldton,CA,1571631340,33.8,100,5,2.06,49.72,-86.95
Chuy,UY,1571631340,57.36,79,100,9.53,-33.69,-53.46
Jumla,NP,1571631340,52.26,49,0,1.43,29.28,82.18
Talaya,RU,1571631341,19.0,85,40,4.47,55.79,84.89
Atambua,ID,1571631341,78.54,83,0,9.57,-9.11,124.89
Kaeo,NZ,1571631341,66.0,67,0,11.79,-35.1,173.78
Galveston,US,1571631342,57.99,71,90,6.93,40.58,-86.19
Grindavik,IS,1571631343,42.8,93,90,18.34,63.84,-22.43
Mahebourg,MU,1571631343,75.0,88,90,13.87,-20.41,57.7
Manakara,MG,1571631343,67.91,90,60,5.61,-22.14,48.01
Saint George,GR,1571631344,57.2,100,40,1.01,39.45,22.34
Solnechnyy,RU,1571631344,52.98,60,58,6.67,50.72,136.64
Kovur,IN,1571631344,75.75,92,100,3.38,14.5,79.99
Dikson,RU,1571631345,26.24,83,69,15.28,73.51,80.55
Clyde River,CA,1571631345,28.4,92,90,10.29,70.47,-68.59
Taltal,CL,1571631345,52.16,73,0,3.89,-25.41,-70.49
Luderitz,NA,1571631346,58.2,77,0,25.23,-26.65,15.16
Presidencia Roque Saenz Pena,AR,1571631346,54.73,97,97,4.43,-26.79,-60.44
Tiznit,MA,1571631346,65.26,82,0,16.24,29.7,-9.73
Tondano,ID,1571631347,93.2,52,40,8.05,1.3,124.91
Souillac,FR,1571631347,48.2,100,90,4.7,45.6,-0.6
Occhiobello,IT,1571631347,66.99,93,80,3.36,44.92,11.58
Mlonggo,ID,1571631348,95.0,32,20,13.87,-6.53,110.7
Lagoa,PT,1571631348,54.0,87,0,7.09,37.14,-8.45
Constitucion,MX,1571631349,66.2,88,90,8.05,23.99,-104.67
Paamiut,GL,1571631349,39.9,62,0,12.33,61.99,-49.67
Najran,SA,1571631349,66.2,32,0,2.24,17.54,44.22
Grimshaw,CA,1571631350,35.01,93,75,3.36,56.19,-117.61
Codrington,AU,1571631350,77.0,33,0,13.87,-28.95,153.24
Port Pirie,AU,1571631351,71.6,43,95,10.29,-33.18,138.01
Leningradskiy,RU,1571631351,24.72,94,100,24.02,69.38,178.42
Asheville,US,1571631352,59.0,87,40,2.01,35.6,-82.55
Butaritari,KI,1571631352,85.35,67,46,10.4,3.07,172.79
Vardo,US,1571631352,54.0,87,90,5.82,39.62,-77.74
Fortuna,US,1571631353,54.0,81,1,5.03,40.6,-124.16
Kendari,ID,1571631353,92.73,33,26,7.34,-3.99,122.52
Karratha,AU,1571631353,99.51,18,59,14.34,-20.74,116.85
Rio Cuarto,AR,1571631354,53.6,93,0,5.82,-33.13,-64.35
Namibe,AO,1571631354,69.35,85,20,4.79,-15.19,12.15
Vanimo,PG,1571631355,83.58,69,29,11.48,-2.67,141.3
Mehamn,NO,1571631355,37.4,80,75,17.22,71.03,27.85
Lebu,ET,1571631355,48.41,81,0,3.15,8.96,38.73
Lavrentiya,RU,1571631355,24.87,95,100,5.06,65.58,-170.99
Mecca,SA,1571631356,76.42,69,0,2.04,21.43,39.83
Otjimbingwe,NA,1571631356,71.13,19,0,3.71,-22.35,16.13
Cockburn Town,TC,1571631356,83.78,79,100,16.71,21.46,-71.14
Camas,ES,1571631357,54.0,87,0,2.24,37.4,-6.03
Pisco,PE,1571631357,62.6,82,0,5.82,-13.71,-76.2
Sorong,ID,1571631357,81.32,85,100,5.44,-0.86,131.25
Mtambile,TZ,1571631358,79.44,78,0,6.58,-5.38,39.7
Kembaran,ID,1571631358,95.0,32,20,13.87,-7.38,110.0
Ancud,CL,1571631359,41.0,86,75,9.17,-41.87,-73.83
Bethel,US,1571631359,35.6,95,90,6.93,60.79,-161.76
Hilo,US,1571631359,80.6,69,90,4.7,19.71,-155.08
Sindou,BF,1571631360,72.78,91,100,1.25,10.66,-5.16
Sigli,ID,1571631360,84.93,70,91,0.67,5.38,95.96
Upernavik,GL,1571631360,17.85,77,74,7.23,72.79,-56.15
Vredendal,ZA,1571631361,58.6,85,35,16.82,-31.68,18.49
Sibu,MY,1571631362,86.0,70,75,3.36,2.29,111.83
Sahuaripa,MX,1571631362,68.34,50,0,0.89,29.05,-109.23
Porto Walter,BR,1571631362,74.44,78,21,1.5,-8.27,-72.74
Buala,SB,1571631363,84.56,69,100,9.22,-8.15,159.59
Ust-Maya,RU,1571631363,30.45,88,6,4.36,60.42,134.54
Mawlaik,MM,1571631363,81.26,57,0,3.18,23.63,94.42
College,US,1571631364,35.01,74,75,4.7,64.86,-147.8
Tuktoyaktuk,CA,1571631364,19.4,85,40,8.05,69.44,-133.03
Nikolskoye,RU,1571631365,51.8,81,90,11.18,59.7,30.79
Mouila,GA,1571631365,70.23,98,82,0.83,-1.86,11.06
Bambous Virieux,MU,1571631365,75.0,88,90,13.87,-20.34,57.76
Ponta do Sol,BR,1571631366,68.63,81,17,1.3,-20.63,-46.0
Saldanha,PT,1571631367,44.81,91,0,1.66,41.42,-6.55
Marawi,PH,1571631368,86.0,79,84,5.99,8.0,124.29
Miranda,BR,1571631368,73.16,87,43,1.9,-20.24,-56.38
Fairmont,US,1571631369,52.0,35,40,8.05,40.64,-97.59
Nhulunbuy,AU,1571631369,89.6,43,0,17.22,-12.18,136.78
Poopo,BO,1571631370,49.47,33,22,10.25,-18.38,-66.97
Payo,ID,1571631370,83.58,41,67,5.7,-3.75,103.64
Kankon,IN,1571631370,79.41,79,99,4.94,15.02,74.02
Alghero,IT,1571631371,62.6,77,0,3.36,40.56,8.32
Pevek,RU,1571631371,27.78,72,98,12.77,69.7,170.27
Upington,ZA,1571631371,57.2,47,0,4.7,-28.46,21.24
Broome,GB,1571631372,55.0,87,100,10.29,52.47,1.45
Provideniya,RU,1571631372,33.8,69,90,15.66,64.42,-173.23
Sao Filipe,CV,1571631372,77.68,85,87,20.2,14.9,-24.5
Noumea,NC,1571631372,86.0,40,25,12.75,-22.28,166.46
Kieta,PG,1571631373,84.3,69,22,5.17,-6.22,155.63
Lompoc,US,1571631373,69.8,48,1,9.17,34.64,-120.46
Le Port,FR,1571631373,52.0,73,80,0.85,42.87,1.37
Nome,US,1571631374,82.99,94,40,6.93,30.04,-94.42
Matamoros,US,1571631374,82.99,88,75,8.05,25.87,-97.51
Deqing,CN,1571631375,73.99,56,20,2.24,30.54,119.97
Kutum,SD,1571631375,75.83,42,36,5.3,14.2,24.66
Aras,ES,1571631376,45.0,93,13,2.24,42.56,-2.36
Chokurdakh,RU,1571631376,2.8,95,85,4.25,70.62,147.9
Caravelas,BR,1571631377,74.93,82,100,11.77,-17.73,-39.27
San Jeronimo,PE,1571631377,50.27,92,99,3.06,-13.65,-73.37
Saint-Pierre,FR,1571631378,57.2,87,90,23.04,48.95,4.24
Carnarvon,ZA,1571631379,53.04,47,0,15.84,-30.97,22.13
Kayes,ML,1571631379,80.6,74,78,6.93,14.44,-11.44
Vila Velha,BR,1571631380,79.0,74,75,10.29,-3.71,-38.6
Husavik,CA,1571631380,46.99,86,100,7.2,50.56,-96.99
Omsukchan,RU,1571631381,15.99,92,91,4.25,62.53,155.8
Nan,TH,1571631381,82.4,74,20,1.12,18.78,100.78
Igrim,RU,1571631381,29.96,97,100,2.13,63.19,64.42
Vaitape,PF,1571631382,80.06,75,80,5.59,-16.52,-151.75
Kenai,US,1571631382,42.01,86,90,5.82,60.55,-151.26
Narrabri,AU,1571631383,80.01,16,0,8.05,-30.33,149.78
Adrar,DZ,1571631383,69.8,28,0,4.7,27.87,-0.29
Quatre Cocos,MU,1571631383,75.0,88,90,13.87,-20.21,57.76
Warmbad,DE,1571631384,55.0,93,97,4.7,50.67,13.08
Niquero,CU,1571631384,84.32,71,97,8.08,20.04,-77.58
Itoman,JP,1571631384,84.2,74,20,11.41,26.12,127.67
Thaba-Tseka,LS,1571631385,48.97,27,0,9.4,-29.52,28.61
San Rafael,AR,1571631386,61.79,25,0,8.52,-34.61,-68.33
Aksarka,RU,1571631386,23.14,78,27,3.44,66.56,67.8
Sitka,US,1571631387,52.0,43,50,21.0,37.17,-99.65
Mayo,CA,1571631387,30.2,92,90,2.24,63.59,-135.9
Iznoski,RU,1571631388,49.4,89,100,5.95,54.99,35.31
Hauterive,CA,1571631388,37.4,100,40,3.36,49.18,-68.27
Bagepalli,IN,1571631388,73.4,100,40,4.7,13.78,77.8
Normandin,CA,1571631389,35.6,93,40,4.7,48.84,-72.53
Arraial do Cabo,BR,1571631389,69.56,70,77,10.96,-22.97,-42.02
Blagoyevo,RU,1571631389,33.54,94,100,3.11,63.37,47.92
Nerchinskiy Zavod,RU,1571631390,31.24,48,88,17.76,51.31,119.61
Dunedin,NZ,1571631390,54.0,53,68,8.99,-45.87,170.5
Prachuap Khiri Khan,TH,1571631391,83.33,64,100,7.18,11.81,99.79
Bonthe,SL,1571631391,77.09,85,94,1.9,7.53,-12.5
Aklavik,CA,1571631392,15.8,72,20,11.41,68.22,-135.01
Thompson,CA,1571631392,35.6,93,90,6.93,55.74,-97.86
Dudinka,RU,1571631392,19.4,92,75,17.9,69.41,86.18
Miandrivazo,MG,1571631393,76.02,77,0,2.46,-19.53,45.46
Honiara,SB,1571631393,87.8,62,40,8.05,-9.43,159.96
Zwedru,LR,1571631394,71.47,99,97,2.37,6.07,-8.13
Hamilton,CA,1571631394,50.0,100,1,1.86,43.26,-79.87
Batagay-Alyta,RU,1571631394,11.46,75,26,2.53,67.8,130.41
Kpandae,GH,1571631395,72.78,94,69,3.94,8.46,-0.01
Kaitangata,NZ,1571631395,51.01,58,100,11.01,-46.28,169.85
Touros,BR,1571631395,75.2,83,75,4.7,-5.2,-35.46
Koslan,RU,1571631396,33.31,92,100,3.18,63.46,48.9
Vila Franca do Campo,PT,1571631396,60.8,72,40,8.05,37.72,-25.43
Itaituba,BR,1571631396,74.03,95,100,1.83,-4.26,-55.99
Tallahassee,US,1571631397,64.4,100,1,1.95,30.44,-84.28
Hofn,IS,1571631397,35.27,99,100,10.92,64.25,-15.21
Mingguang,CN,1571631397,74.53,37,61,6.31,32.78,118.01
East London,ZA,1571631398,64.4,72,0,8.05,-33.02,27.91
Mitsamiouli,KM,1571631398,78.8,74,20,3.36,-11.38,43.28
Lasa,CY,1571631398,64.4,55,20,6.93,34.92,32.53
Sakaiminato,JP,1571631399,68.0,72,75,14.99,35.55,133.23
Cidreira,BR,1571631399,60.56,72,100,5.32,-30.17,-50.22
Baft,IR,1571631399,42.74,57,0,2.35,29.23,56.61
Stratford-upon-Avon,GB,1571631400,50.0,100,75,11.41,52.19,-1.71
Coos Bay,US,1571631400,57.0,100,90,6.93,43.37,-124.22
Noboribetsu,JP,1571631401,64.4,52,40,11.41,42.42,141.1
Alofi,NU,1571631402,77.0,94,4,4.7,-19.06,-169.92
Port Lincoln,AU,1571631403,63.32,71,100,7.18,-34.72,135.86
Rawson,AR,1571631403,66.27,18,67,17.29,-43.3,-65.11
Bayir,TR,1571631403,53.6,100,20,0.54,37.27,28.22
Greven,DE,1571631404,54.0,93,75,3.36,52.09,7.61
Sabang,PH,1571631404,87.01,73,11,5.99,13.8,121.11
Terney,RU,1571631404,61.91,49,14,6.42,45.05,136.61
Siocon,PH,1571631405,86.59,66,93,5.64,11.03,124.04
Victoria,BN,1571631405,91.4,55,75,6.93,5.28,115.24
Atikokan,CA,1571631406,44.9,78,100,4.34,48.76,-91.62
Port Hardy,CA,1571631406,48.2,93,90,6.93,50.7,-127.42
Oistins,BB,1571631406,77.0,88,20,3.36,13.07,-59.53
Pangkalanbuun,ID,1571631408,89.9,56,43,4.68,-2.68,111.62
Muros,ES,1571631408,50.0,100,90,2.24,42.77,-9.06
Coquimbo,CL,1571631409,53.01,71,0,11.52,-29.95,-71.34
Mount Isa,AU,1571631409,91.4,8,0,12.75,-20.73,139.49
Pangody,RU,1571631409,26.07,89,94,10.8,65.85,74.49
Port Hedland,AU,1571631410,100.4,21,16,11.41,-20.31,118.58
Yar-Sale,RU,1571631411,21.45,94,19,9.44,66.83,70.83
Sabaudia,IT,1571631411,66.2,82,0,2.24,41.3,13.03
Yerbogachen,RU,1571631412,23.84,64,100,4.16,61.28,108.01
Tasiilaq,GL,1571631412,21.2,79,0,4.7,65.61,-37.64
San Cristobal Acasaguastlan,GT,1571631413,64.76,94,71,1.97,14.92,-89.88
Maragogi,BR,1571631413,71.38,87,48,4.38,-9.01,-35.22
Capao da Canoa,BR,1571631414,58.35,79,100,1.72,-29.75,-50.01
Roald,NO,1571631414,41.0,93,89,4.7,62.58,6.12
Cayenne,GF,1571631414,75.2,94,57,4.29,4.94,-52.33
Enfield,IE,1571631415,42.01,100,20,3.36,53.41,-6.83
Half Moon Bay,US,1571631415,61.0,77,1,9.17,37.46,-122.43
